Job_name,Company_name,Place,Date,job_type,experience
Data Analyst,Deriv -,"Dubai, United Arab Emirates",27 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Senior Data Scientist - Hybrid,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt",28 days ago,Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Computer Science · Data Analysis · Data Science · Machine Learning · SQL · Python
Data Analyst Specialist,Professional Recruitment -,"Riyadh, Saudi Arabia",27 days ago,Full Time,Full TimeNot specified · 3+ Yrs of Exp · Administration · IT/Software Development · Analyst/Research · Microsoft Office · Data Entry · Administration · Data Analysis · Analysis · Computer Science · Information Technology (IT)
Senior Data Engineer- Remote,GetTechForce.com -,"Cairo, Egypt",29 days ago,Full Time,Full TimeWork From HomeManager · 7+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Java · computer · Software Engineering · SQL · Computer Science · Information Technology (IT)
Vertica Data Engineer,Dautom -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · SQL · Python · Software Development
"Manager, Data Architecture & Engineering Egypt - Giza - Orange Egypt",Orange Digital Ventures -,"Cairo, Egypt",30 days ago,Full Time,Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Architecture · Computer Science · Project Management · Civil Engineering · Construction
"Logging Geologist-Surface Data Logging, Senior","Halliburton Energy Services, Inc. -","Cairo, Egypt",30 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · sql · database · communication skills · data
Data Governance Manager,Cognizant Technology Solutions Corporation -,"Riyadh, Saudi Arabia",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Microsoft Office · Data Management · Engineering · Management · SQL
Junior Data Analyst,Cleartrip -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
AFC Data Analyst (Automatic Fare Collection System),SNC-Lavalin -,"Riyadh, Saudi Arabia",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
Data Analytics Supervisor,Emirates Group Careers -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Data Analytics · Computer Engineering · Analysis · BI
Tech & Data Lead - CX,Cenomi Group -,"Riyadh, Saudi Arabia",30 days ago,Full Time,Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Customer Service · Customer Support · Customer Care · Information Technology (IT) · Computer Science · Call Center · Engineering
Senior Engineer-Data,DAMAC Properties -,"Dubai, United Arab Emirates",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering
Data Engineer-Enterprise content management (Internship),IBM WTC Egypt -,"Cairo, Egypt",30 days ago,Full Time,Full TimeNot specified · IT/Software Development · Marketing/PR/Advertising · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · software · java · management
Data Engineer,Second profit   -,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · SQL Server · Amazon AWS · Computer Engineering · AWS · Computer Science · Data · Data Management
Senior Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Big Data · Computer Science · Data Analytics · Data Science · Data · data scientist · Information Technology (IT) · Mathematics · Science
Data Scientist,egabi solutions -,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · AI · ML · Data Analysis · Data Mining · Data Science · data scientist · Information Technology (IT) · Machine Learning
Data Analyst,Arma-HSA -,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Computer Science · Information Technology (IT) · Reporting · Power BI · IT · analytical · Engineering · English
Data Analytics Engineer,Erada -,"Maadi, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · analytical · Information Technology (IT) · Software Engineering · Data Analytics · Data · Engineering · Analysis
Data Analyst,Second profit   -,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Data Entry and App developer,MFG -,"Katameya, Cairo, Egypt",1 month ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Computer Science · Data Entry · Development · Programming · Software Engineering
Teaching Assistant - Computer Science,Confidential -,"New Capital, Cairo, Egypt",15 days ago,Full Time,Full TimeEntry Level · 1 - 5 Yrs of Exp · Education/Teaching · Teaching · Computer Science · Communication skills · Communication
Data Engineer,UMX Studio -,"Dokki, Giza, Egypt",15 days ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Engineering · Data Analysis · Java · Python · Software · Software Engineering · Software Development · SQL · Programming
Senior Customer Insights Analyst (CX),MRSOOL Inc -,"Cairo, Egypt",3 days ago,Full Time,Full TimeWork From HomeNot specified · Customer Service/Support · Marketing/PR/Advertising · Analyst/Research · Market Research · Marketing · Statistics · Analysis · Commercial Insights · Computer Science · Customer Care
Business Analyst - Multinational Company,Pillars -,"Cairo, Egypt",10 hours ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Analyst/Research · Analysis · business · Business Analysis · Information Technology (IT) · Data Analysis · English · Management
Analyst - Compensations,Sidra Medical and Research Center -,"Doha, Qatar",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office
